Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,72.820000,75.300003,72.629997,74.650002,74.650002,251100
2024-01-08,72.970001,75.410004,72.970001,75.330002,75.330002,215000
2024-01-09,74.800003,76.029999,74.540001,75.400002,75.400002,160700
2024-01-10,75.059998,75.589996,74.279999,75.099998,75.099998,114500
2024-01-11,75.150002,76.470001,74.589996,76.400002,76.400002,202500
2024-01-12,77.199997,78.849998,77.010002,77.410004,77.410004,167600
2024-01-16,76.650002,77.370003,74.930000,77.150002,77.150002,161400
2024-01-17,76.550003,76.570000,74.690002,76.000000,76.000000,247000
2024-01-18,76.680000,77.709999,75.709999,77.440002,77.440002,102800
2024-01-19,78.190002,79.290001,76.430000,78.910004,78.910004,239600
2024-01-22,79.300003,81.059998,79.279999,80.019997,80.019997,145100
2024-01-23,80.260002,80.260002,77.910004,78.279999,78.279999,227000
2024-01-24,76.379997,78.139999,73.919998,75.529999,75.529999,223500
2024-01-25,75.860001,76.669998,74.610001,74.650002,74.650002,121100
